PID,Final_Radius_nm,fiPEG,fiRNA,Birth_Time,Merge_Count,Num_Ancestors,Num_Parents,Num_Children,Is_Initial
400,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
402,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
403,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
405,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
407,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
408,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
409,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
410,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
411,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
412,9.0,0.015,0.0,0.000000e+00,0,0,0,0,True
